country,newCases,date
Bolivia,1766,2021/12/15
Colombia,1766,2021/12/21
Belarus,1765,2021/12/15
Israel,1745,2021/12/23
United Arab Emirates,1732,2021/12/27
Bulgaria,1725,2021/12/15
Peru,1724,2021/12/17
Lithuania,1724,2021/12/18
Lithuania,1722,2021/12/22
Colombia,1720,2021/12/16
Austria,1717,2021/12/26
Laos,1702,2021/12/17
Colombia,1699,2021/12/20
Costa Rica,1696,2021/12/28
Panama,1692,2021/12/25
Lebanon,1690,2021/12/18
Angola,1688,2021/12/29
Serbia,1676,2021/12/28
Georgia,1661,2021/12/26
Peru,1660,2021/12/16
Belarus,1655,2021/12/18
Belarus,1654,2021/12/22
Lebanon,1646,2021/12/23
Belarus,1644,2021/12/17
Slovakia,1644,2021/12/27
Eswatini,1642,2021/12/16
Zimbabwe,1636,2021/12/22
United Arab Emirates,1621,2021/12/25
Lithuania,1619,2021/12/17
Bulgaria,1614,2021/12/17
Kenya,1609,2021/12/17
Lebanon,1606,2021/12/17
Lithuania,1599,2021/12/28
Sri Lanka,1597,2021/12/29
Belarus,1596,2021/12/16
Kenya,1596,2021/12/27
Lesotho,1591,2021/12/24
Nigeria,1584,2021/12/17
Peru,1581,2021/12/19
Lithuania,1581,2021/12/24
Palestine,1575,2021/12/20
Mexico,1557,2021/12/20
Slovenia,1554,2021/12/21
Austria,1550,2021/12/27
Nigeria,1547,2021/12/26
Zambia,1539,2021/12/26
Belarus,1529,2021/12/25
Namibia,1527,2021/12/22
Slovenia,1526,2021/12/15
Montenegro,1507,2021/12/29
Kenya,1504,2021/12/28
Morocco,1504,2021/12/29
Cote d'Ivoire,1502,2021/12/29
Madagascar,1501,2021/12/18
Chile,1494,2021/12/25
Laos,1493,2021/12/16
Belarus,1493,2021/12/29
Chile,1492,2021/12/16
Chile,1482,2021/12/23
Lebanon,1479,2021/12/19
Peru,1478,2021/12/15
Eswatini,1469,2021/12/15
Bulgaria,1463,2021/12/22
Brazil,1458,2021/12/19
Democratic Republic of Congo,1456,2021/12/16
Belarus,1456,2021/12/19
Israel,1455,2021/12/25
Lithuania,1453,2021/12/21
Bulgaria,1443,2021/12/16
Chile,1433,2021/12/17
Nigeria,1424,2021/12/15
Uruguay,1417,2021/12/29
Chile,1415,2021/12/18
Chile,1399,2021/12/24
Zimbabwe,1392,2021/12/24
Mozambique,1382,2021/12/17
Kenya,1372,2021/12/19
Hungary,1370,2021/12/28
Nigeria,1368,2021/12/29
Iran,1361,2021/12/18
Serbia,1359,2021/12/15
Lithuania,1359,2021/12/19
Israel,1356,2021/12/20
Nigeria,1356,2021/12/24
Zambia,1356,2021/12/27
Slovenia,1355,2021/12/16
Bolivia,1355,2021/12/26
Panama,1354,2021/12/28
United Arab Emirates,1352,2021/12/24
Israel,1351,2021/12/24
Panama,1348,2021/12/29
Laos,1341,2021/12/22
Malta,1337,2021/12/29
Namibia,1334,2021/12/20
Serbia,1325,2021/12/16
Latvia,1319,2021/12/29
Lebanon,1311,2021/12/26
Nigeria,1305,2021/12/25
Malta,1298,2021/12/28
Georgia,1296,2021/12/20
Zambia,1294,2021/12/17
Slovenia,1288,2021/12/18
Slovenia,1278,2021/12/17
Bulgaria,1278,2021/12/27
Slovakia,1272,2021/12/25
Uganda,1272,2021/12/29
Romania,1271,2021/12/29
Serbia,1268,2021/12/22
Malawi,1265,2021/12/24
Ghana,1264,2021/12/28
Namibia,1263,2021/12/19
Slovenia,1263,2021/12/22
Lithuania,1255,2021/12/25
Chile,1252,2021/12/19
Uganda,1251,2021/12/25
Laos,1249,2021/12/18
Serbia,1249,2021/12/27
Laos,1245,2021/12/15
Israel,1241,2021/12/26
Ecuador,1238,2021/12/16
Bulgaria,1235,2021/12/28
Mozambique,1234,2021/12/16
Burundi,1217,2021/12/20
Bolivia,1206,2021/12/27
Slovenia,1205,2021/12/24
Belarus,1203,2021/12/23
Israel,1200,2021/12/22
Serbia,1199,2021/12/17
Kenya,1196,2021/12/26
Serbia,1193,2021/12/24
Malawi,1192,2021/12/23
Ecuador,1186,2021/12/21
Latvia,1186,2021/12/28
Morocco,1184,2021/12/28
Serbia,1177,2021/12/23
Angola,1163,2021/12/23
Azerbaijan,1156,2021/12/15
Panama,1155,2021/12/22
Chile,1155,2021/12/26
Romania,1144,2021/12/28
Laos,1128,2021/12/21
Slovenia,1127,2021/12/23
Chile,1126,2021/12/20
Iran,1121,2021/12/25
Israel,1120,2021/12/21
Montenegro,1120,2021/12/28
Uganda,1116,2021/12/26
Malawi,1112,2021/12/22
Eswatini,1110,2021/12/20
Malawi,1103,2021/12/29
Lebanon,1100,2021/12/27
Serbia,1098,2021/12/25
Zimbabwe,1098,2021/12/27
Chile,1096,2021/12/29
Uganda,1093,2021/12/24
Czechia,1093,2021/12/26
Slovenia,1088,2021/12/25
Ghana,1074,2021/12/29
Laos,1067,2021/12/19
Chile,1060,2021/12/15
Democratic Republic of Congo,1060,2021/12/17
Namibia,1053,2021/12/25
Luxembourg,1053,2021/12/29
Nigeria,1051,2021/12/16
Laos,1042,2021/12/29
Zambia,1039,2021/12/18
Zambia,1036,2021/12/19
Eswatini,1034,2021/12/17
Bulgaria,1033,2021/12/24
Kenya,1020,2021/12/20
Serbia,1015,2021/12/18
Zimbabwe,1010,2021/12/25
Namibia,1008,2021/12/26
Laos,1007,2021/12/25
United Arab Emirates,1002,2021/12/23
Ghana,1000,2021/12/23
Rwanda,998,2021/12/28
Latvia,991,2021/12/21
Georgia,986,2021/12/27
Azerbaijan,984,2021/12/16
Belarus,983,2021/12/26
Estonia,980,2021/12/28
Cyprus,978,2021/12/23
Serbia,976,2021/12/26
Mozambique,975,2021/12/15
Iceland,974,2021/12/28
Uganda,974,2021/12/28
Chile,964,2021/12/22
Trinidad and Tobago,964,2021/12/24
Rwanda,962,2021/12/27
Laos,962,2021/12/28
Trinidad and Tobago,956,2021/12/18
Malta,955,2021/12/24
Latvia,954,2021/12/23
Eswatini,948,2021/12/21
Latvia,948,2021/12/24
Malawi,947,2021/12/25
Ghana,946,2021/12/22
Kenya,943,2021/12/16
Malawi,943,2021/12/21
Mexico,943,2021/12/28
Kazakhstan,937,2021/12/18
Palestine,937,2021/12/27
Latvia,934,2021/12/16
Trinidad and Tobago,928,2021/12/23
Azerbaijan,921,2021/12/19
Luxembourg,921,2021/12/20
Angola,921,2021/12/25
Egypt,919,2021/12/19
Cyprus,917,2021/12/24
Malta,917,2021/12/25
Uruguay,913,2021/12/28
Cyprus,912,2021/12/26
Dominican Republic,911,2021/12/29
Egypt,910,2021/12/17
Latvia,910,2021/12/18
Bulgaria,904,2021/12/18
Ecuador,903,2021/12/20
Egypt,903,2021/12/20
Egypt,902,2021/12/18
Egypt,901,2021/12/16
Mozambique,898,2021/12/25
Bolivia,889,2021/12/19
Latvia,886,2021/12/15
Chile,884,2021/12/21
Cyprus,883,2021/12/22
Egypt,883,2021/12/23
Libya,881,2021/12/27
Egypt,879,2021/12/15
Egypt,879,2021/12/22
Israel,878,2021/12/16
Estonia,878,2021/12/29
Estonia,866,2021/12/23
Egypt,866,2021/12/25
Zambia,861,2021/12/16
Bosnia and Herzegovina,861,2021/12/20
Estonia,861,2021/12/21
Nigeria,859,2021/12/27
Azerbaijan,854,2021/12/23
Egypt,854,2021/12/29
Panama,853,2021/12/17
Bosnia and Herzegovina,852,2021/12/27
Romania,851,2021/12/22
Laos,851,2021/12/26
Egypt,851,2021/12/27
Egypt,848,2021/12/21
Latvia,841,2021/12/17
Eswatini,838,2021/12/18
Bulgaria,838,2021/12/26
Cyprus,835,2021/12/20
Belarus,834,2021/12/20
Palestine,833,2021/12/28
Belarus,832,2021/12/21
Malta,832,2021/12/27
Romania,829,2021/12/15
Nigeria,828,2021/12/19
Lithuania,828,2021/12/26
Romania,826,2021/12/21
Laos,824,2021/12/20
Egypt,823,2021/12/26
Guatemala,821,2021/12/29
Romania,812,2021/12/16
Egypt,811,2021/12/24
Egypt,809,2021/12/28
Lebanon,806,2021/12/20
Cyprus,806,2021/12/21
Mexico,803,2021/12/27
Serbia,802,2021/12/19
Bosnia and Herzegovina,800,2021/12/29
Kenya,799,2021/12/15
Eswatini,796,2021/12/22
Lesotho,795,2021/12/19
Israel,794,2021/12/19
Ethiopia,791,2021/12/18
Sudan,789,2021/12/20
Venezuela,778,2021/12/19
Romania,775,2021/12/23
Burundi,775,2021/12/28
Sri Lanka,772,2021/12/15
Slovenia,768,2021/12/19
Chile,762,2021/12/28
Sri Lanka,758,2021/12/16
Azerbaijan,755,2021/12/17
Chile,753,2021/12/27
Latvia,748,2021/12/22
Bosnia and Herzegovina,748,2021/12/28
Saudi Arabia,744,2021/12/29
Romania,743,2021/12/17
Bulgaria,743,2021/12/25
Uganda,743,2021/12/27
Libya,735,2021/12/26
Morocco,734,2021/12/25
Luxembourg,734,2021/12/27
Romania,733,2021/12/18
Malta,733,2021/12/23
Libya,726,2021/12/19
Estonia,725,2021/12/22
Trinidad and Tobago,723,2021/12/21
Israel,720,2021/12/17
Ecuador,719,2021/12/15
Panama,719,2021/12/23
Romania,717,2021/12/24
Ecuador,715,2021/12/17
Sri Lanka,715,2021/12/17
Sri Lanka,713,2021/12/21
Rwanda,713,2021/12/25
Luxembourg,711,2021/12/15
Namibia,710,2021/12/16
Uganda,710,2021/12/23
Estonia,710,2021/12/24
Trinidad and Tobago,707,2021/12/17
Trinidad and Tobago,706,2021/12/15
Slovenia,698,2021/12/27
Israel,696,2021/12/18
Dominican Republic,696,2021/12/25
Cyprus,695,2021/12/17
Sri Lanka,695,2021/12/18
Cameroon,691,2021/12/28
Madagascar,689,2021/12/29
Ethiopia,681,2021/12/20
Cote d'Ivoire,680,2021/12/27
Philippines,679,2021/12/29
Bosnia and Herzegovina,675,2021/12/16
Sri Lanka,673,2021/12/22
Mozambique,673,2021/12/27
Slovenia,671,2021/12/26
Aruba,671,2021/12/29
Tunisia,670,2021/12/28
United Arab Emirates,665,2021/12/22
Bahamas,665,2021/12/29
Libya,665,2021/12/29
Azerbaijan,662,2021/12/21
Slovakia,660,2021/12/26
Iceland,658,2021/12/20
Libya,658,2021/12/24
Estonia,655,2021/12/15
Dominican Republic,655,2021/12/28
Morocco,654,2021/12/24
Lithuania,651,2021/12/27
Venezuela,651,2021/12/28
Cyprus,650,2021/12/15
Libya,648,2021/12/16
Azerbaijan,648,2021/12/22
Burundi,648,2021/12/23
Estonia,645,2021/12/16
Albania,643,2021/12/28
Belarus,642,2021/12/27
Angola,633,2021/12/22
Cyprus,632,2021/12/16
Trinidad and Tobago,629,2021/12/19
Rwanda,629,2021/12/24
Israel,627,2021/12/15
Kazakhstan,627,2021/12/15
Tunisia,627,2021/12/27
Lithuania,624,2021/12/20
Ecuador,619,2021/12/28
Ethiopia,617,2021/12/17
Pakistan,617,2021/12/18
Uruguay,612,2021/12/24
Angola,610,2021/12/26
Zambia,609,2021/12/20
Paraguay,607,2021/12/20
Zimbabwe,605,2021/12/26
Estonia,603,2021/12/17
Andorra,602,2021/12/27
Saudi Arabia,602,2021/12/28
Cape Verde,602,2021/12/29
Luxembourg,600,2021/12/22
Uruguay,600,2021/12/27
Eswatini,600,2021/12/29
Congo,599,2021/12/27
Libya,599,2021/12/28
Nigeria,599,2021/12/28
Romania,598,2021/12/25
Guatemala,597,2021/12/28
Libya,592,2021/12/20
Burkina Faso,592,2021/12/28
Bosnia and Herzegovina,591,2021/12/21
Slovenia,587,2021/12/20
Togo,587,2021/12/25
Malawi,584,2021/12/28
Azerbaijan,582,2021/12/18
Malta,582,2021/12/22
Luxembourg,582,2021/12/23
Montenegro,581,2021/12/27
Estonia,577,2021/12/18
Azerbaijan,577,2021/12/20
Panama,574,2021/12/27
Zambia,573,2021/12/15
Sri Lanka,573,2021/12/24
Malta,572,2021/12/26
Mongolia,568,2021/12/21
Venezuela,568,2021/12/24
Trinidad and Tobago,567,2021/12/16
Romania,566,2021/12/27
Ethiopia,565,2021/12/19
Panama,563,2021/12/26
Libya,561,2021/12/22
Libya,560,2021/12/23
Croatia,560,2021/12/27
Libya,559,2021/12/17
Azerbaijan,559,2021/12/24
Moldova,554,2021/12/21
Sri Lanka,554,2021/12/23
Curacao,554,2021/12/29
Mozambique,553,2021/12/20
Bosnia and Herzegovina,552,2021/12/22
Kazakhstan,552,2021/12/22
Sri Lanka,551,2021/12/19
United Arab Emirates,551,2021/12/19
Eswatini,550,2021/12/23
Laos,547,2021/12/27
Albania,547,2021/12/29
Kazakhstan,546,2021/12/16
Montenegro,545,2021/12/26
Malawi,544,2021/12/27
Libya,543,2021/12/21
Luxembourg,543,2021/12/24
Ethiopia,542,2021/12/16
Namibia,540,2021/12/17
Cote d'Ivoire,539,2021/12/28
Luxembourg,537,2021/12/16
Malawi,536,2021/12/17
Kazakhstan,536,2021/12/23
Paraguay,536,2021/12/27
Estonia,534,2021/12/27
Morocco,532,2021/12/26
Lesotho,531,2021/12/26
Azerbaijan,530,2021/12/29
Sri Lanka,529,2021/12/25
Mozambique,527,2021/12/26
Sri Lanka,524,2021/12/20
Saudi Arabia,524,2021/12/27
Bosnia and Herzegovina,522,2021/12/15
Bosnia and Herzegovina,516,2021/12/23
Rwanda,515,2021/12/26
Andorra,513,2021/12/20
Eswatini,513,2021/12/24
Azerbaijan,511,2021/12/26
Kazakhstan,510,2021/12/24
Cyprus,508,2021/12/18
Dominican Republic,506,2021/12/24
Kazakhstan,502,2021/12/21
Uganda,502,2021/12/22
Azerbaijan,501,2021/12/25
Belarus,501,2021/12/28
Iceland,500,2021/12/23
Romania,499,2021/12/19
Bangladesh,495,2021/12/29
Moldova,492,2021/12/15
Peru,492,2021/12/27
Venezuela,491,2021/12/16
Libya,488,2021/12/15
Bosnia and Herzegovina,488,2021/12/17
Luxembourg,486,2021/12/28
Bosnia and Herzegovina,484,2021/12/24
Malawi,482,2021/12/20
Pakistan,482,2021/12/29
Angola,480,2021/12/21
Kazakhstan,480,2021/12/29
Sri Lanka,479,2021/12/28
Dominican Republic,478,2021/12/27
Ghana,477,2021/12/21
Malawi,475,2021/12/16
Morocco,475,2021/12/23
Singapore,474,2021/12/15
Rwanda,473,2021/12/23
Malawi,468,2021/12/18
Kazakhstan,466,2021/12/28
Rwanda,465,2021/12/22
Estonia,465,2021/12/25
Trinidad and Tobago,465,2021/12/26
Trinidad and Tobago,465,2021/12/29
Montenegro,464,2021/12/25
Venezuela,463,2021/12/17
Namibia,460,2021/12/27
Moldova,459,2021/12/16
Sri Lanka,458,2021/12/27
Bulgaria,456,2021/12/19
Trinidad and Tobago,456,2021/12/22
Cote d'Ivoire,455,2021/12/25
Kazakhstan,455,2021/12/25
Aruba,454,2021/12/28
United Arab Emirates,452,2021/12/21
Trinidad and Tobago,451,2021/12/20
Philippines,448,2021/12/17
Cyprus,448,2021/12/19
Uruguay,446,2021/12/23
Uruguay,445,2021/12/22
Qatar,443,2021/12/29
Moldova,440,2021/12/17
Mongolia,436,2021/12/24
Lesotho,435,2021/12/18
Cote d'Ivoire,432,2021/12/24
Estonia,432,2021/12/26
Eswatini,428,2021/12/25
Morocco,427,2021/12/22
Iraq,426,2021/12/15
Estonia,426,2021/12/19
Lesotho,425,2021/12/16
Romania,424,2021/12/20
Latvia,423,2021/12/19
Dominican Republic,422,2021/12/23
Togo,421,2021/12/28
Montenegro,420,2021/12/24
Trinidad and Tobago,420,2021/12/25
Uruguay,415,2021/12/21
Andorra,413,2021/12/16
Singapore,412,2021/12/17
Iraq,410,2021/12/16
North Macedonia,409,2021/12/28
Kazakhstan,400,2021/12/19
Kuwait,399,2021/12/29
Sri Lanka,398,2021/12/26
Curacao,398,2021/12/28
Japan,398,2021/12/29
Bangladesh,397,2021/12/28
Lesotho,395,2021/12/17
Lesotho,395,2021/12/21
North Macedonia,395,2021/12/29
Bahrain,394,2021/12/29
Moldova,390,2021/12/22
Palestine,389,2021/12/21
Saudi Arabia,389,2021/12/26
Honduras,388,2021/12/25
Panama,386,2021/12/16
Venezuela,386,2021/12/18
Panama,386,2021/12/19
Estonia,386,2021/12/20
Malta,386,2021/12/21
Cameroon,384,2021/12/22
Bangladesh,382,2021/12/23
Algeria,382,2021/12/29
Morocco,381,2021/12/21
Moldova,379,2021/12/23
Cote d'Ivoire,377,2021/12/23
Albania,376,2021/12/21
Guatemala,376,2021/12/21
Azerbaijan,376,2021/12/28
Tunisia,375,2021/12/16
Kazakhstan,375,2021/12/20
Venezuela,375,2021/12/21
Algeria,375,2021/12/24
Guatemala,373,2021/12/22
Bangladesh,373,2021/12/27
Bahrain,373,2021/12/28
Iceland,372,2021/12/22
Burundi,370,2021/12/21
Burkina Faso,368,2021/12/21
Moldova,368,2021/12/24
Croatia,367,2021/12/20
Qatar,367,2021/12/28
Burundi,367,2021/12/29
Singapore,365,2021/12/28
Cameroon,364,2021/12/20
Iraq,364,2021/12/20
Somalia,363,2021/12/23
Namibia,362,2021/12/28
Uruguay,361,2021/12/20
China,361,2021/12/27
Uruguay,360,2021/12/25
Trinidad and Tobago,360,2021/12/28
Pakistan,359,2021/12/19
Pakistan,359,2021/12/22
Pakistan,359,2021/12/25
Iraq,357,2021/12/17
Uganda,357,2021/12/21
Uruguay,356,2021/12/18
Venezuela,355,2021/12/15
Singapore,355,2021/12/16
Namibia,354,2021/12/15
Kazakhstan,354,2021/12/27
Pakistan,353,2021/12/24
Bangladesh,352,2021/12/22
Tunisia,352,2021/12/25
Kazakhstan,351,2021/12/26
Luxembourg,349,2021/12/17
Philippines,349,2021/12/25
Romania,349,2021/12/26
Pakistan,348,2021/12/28
Tunisia,347,2021/12/21
Tunisia,347,2021/12/22
Palestine,343,2021/12/15
Rwanda,343,2021/12/21
Albania,343,2021/12/22
Qatar,343,2021/12/27
Iraq,342,2021/12/22
Bangladesh,342,2021/12/24
Guatemala,341,2021/12/15
Singapore,341,2021/12/29
Dominican Republic,339,2021/12/26
Iraq,336,2021/12/21
Mongolia,335,2021/12/15
Tunisia,335,2021/12/18
Singapore,335,2021/12/22
Latvia,335,2021/12/27
Algeria,335,2021/12/28
Mongolia,334,2021/12/29
North Macedonia,333,2021/12/21
Palestine,333,2021/12/22
North Macedonia,333,2021/12/24
Venezuela,333,2021/12/26
Belize,333,2021/12/29
Saudi Arabia,332,2021/12/24
Guatemala,329,2021/12/16
Malawi,329,2021/12/19
Mongolia,329,2021/12/19
Kuwait,329,2021/12/28
North Macedonia,327,2021/12/17
Albania,326,2021/12/15
North Macedonia,326,2021/12/15
Latvia,326,2021/12/20
Tunisia,326,2021/12/23
Albania,325,2021/12/18
Iceland,325,2021/12/21
Saudi Arabia,325,2021/12/25
Malawi,325,2021/12/26
Panama,323,2021/12/20
Curacao,323,2021/12/24
Eswatini,322,2021/12/19
Costa Rica,322,2021/12/21
Guatemala,322,2021/12/23
Pakistan,322,2021/12/23
Singapore,322,2021/12/23
Iraq,322,2021/12/24
Albania,321,2021/12/25
North Macedonia,320,2021/12/22
Tunisia,320,2021/12/24
Albania,319,2021/12/23
Philippines,319,2021/12/28
Malawi,318,2021/12/15
Uruguay,317,2021/12/17
Pakistan,316,2021/12/27
Uruguay,315,2021/12/15
Japan,313,2021/12/28
Iraq,312,2021/12/23
Eswatini,312,2021/12/28
Congo,311,2021/12/21
Algeria,310,2021/12/21
Pakistan,310,2021/12/21
Andorra,310,2021/12/22
Fiji,309,2021/12/29
Montenegro,308,2021/12/22
Rwanda,307,2021/12/20
Azerbaijan,306,2021/12/27
South Sudan,305,2021/12/20
Moldova,304,2021/12/18
Bahrain,304,2021/12/27
South Sudan,302,2021/12/24
Moldova,302,2021/12/28
Pakistan,301,2021/12/15
Albania,301,2021/12/16
North Macedonia,301,2021/12/18
United Arab Emirates,301,2021/12/20
Algeria,299,2021/12/17
Liberia,299,2021/12/27
North Macedonia,298,2021/12/16
Bangladesh,297,2021/12/15
Uganda,297,2021/12/19
Togo,297,2021/12/23
Ethiopia,296,2021/12/15
Albania,296,2021/12/17
Qatar,296,2021/12/26
Palestine,296,2021/12/29
Ghana,293,2021/12/15
Belgium,293,2021/12/21
Algeria,293,2021/12/23
Algeria,293,2021/12/27
Moldova,293,2021/12/29
South Sudan,292,2021/12/29
Indonesia,291,2021/12/17
Malta,291,2021/12/18
Bangladesh,291,2021/12/21
Palestine,291,2021/12/23
Morocco,291,2021/12/27
Uruguay,289,2021/12/16
Saudi Arabia,287,2021/12/23
Bahrain,287,2021/12/26
Mongolia,287,2021/12/26
Faeroe Islands,287,2021/12/29
Algeria,286,2021/12/18
Albania,286,2021/12/24
Mongolia,285,2021/12/16
Algeria,285,2021/12/22
Andorra,283,2021/12/29
Malta,282,2021/12/19
Uruguay,282,2021/12/26
Singapore,280,2021/12/21
Singapore,280,2021/12/27
Burundi,279,2021/12/16
Qatar,279,2021/12/25
North Macedonia,279,2021/12/26
Algeria,278,2021/12/25
Indonesia,278,2021/12/28
Pakistan,277,2021/12/16
Myanmar,276,2021/12/23
Togo,276,2021/12/26
Myanmar,276,2021/12/29
Comoros,275,2021/12/22
Bangladesh,275,2021/12/25
Pakistan,275,2021/12/26
South Sudan,273,2021/12/23
Dominican Republic,272,2021/12/19
Iraq,272,2021/12/19
Montenegro,272,2021/12/23
Singapore,271,2021/12/18
Pakistan,270,2021/12/20
Nepal,269,2021/12/17
North Macedonia,269,2021/12/23
Cyprus,268,2021/12/25
Bangladesh,268,2021/12/26
Mongolia,267,2021/12/18
North Macedonia,266,2021/12/25
South Sudan,266,2021/12/26
Singapore,265,2021/12/24
Japan,263,2021/12/25
Mongolia,262,2021/12/17
Algeria,262,2021/12/19
Curacao,262,2021/12/25
Algeria,261,2021/12/26
Iraq,261,2021/12/29
Namibia,261,2021/12/29
South Sudan,260,2021/12/17
Bangladesh,260,2021/12/20
Japan,260,2021/12/24
Paraguay,260,2021/12/29
Myanmar,259,2021/12/21
Philippines,259,2021/12/26
Uganda,258,2021/12/20
Burundi,257,2021/12/15
Bangladesh,257,2021/12/16
Lesotho,255,2021/12/15
Singapore,255,2021/12/19
Indonesia,255,2021/12/25
Guatemala,254,2021/12/17
Venezuela,253,2021/12/23
Nepal,252,2021/12/15
Dominican Republic,252,2021/12/17
Malta,252,2021/12/20
Nepal,252,2021/12/21
Panama,252,2021/12/21
Saudi Arabia,252,2021/12/22
Nepal,251,2021/12/27
Qatar,248,2021/12/24
Singapore,248,2021/12/25
Aruba,248,2021/12/27
Cote d'Ivoire,247,2021/12/22
Japan,247,2021/12/23
Algeria,245,2021/12/15
Jamaica,245,2021/12/28
Algeria,243,2021/12/20
Dominican Republic,241,2021/12/22
Venezuela,241,2021/12/22
Nepal,241,2021/12/23
Bahrain,241,2021/12/25
Nepal,241,2021/12/28
Cuba,241,2021/12/29
Tunisia,240,2021/12/15
Kuwait,240,2021/12/26
Suriname,240,2021/12/29
Montenegro,237,2021/12/21
Nepal,237,2021/12/24
Moldova,237,2021/12/27
Togo,236,2021/12/27
Paraguay,235,2021/12/23
United Arab Emirates,234,2021/12/17
Indonesia,232,2021/12/18
Belize,231,2021/12/28
Morocco,230,2021/12/18
Rwanda,230,2021/12/18
Myanmar,229,2021/12/15
Moldova,229,2021/12/20
Luxembourg,229,2021/12/21
Moldova,229,2021/12/25
Albania,228,2021/12/19
Barbados,227,2021/12/29
Sudan,226,2021/12/29
Monaco,225,2021/12/17
Cameroon,225,2021/12/26
Japan,225,2021/12/26
Iraq,225,2021/12/28
Saudi Arabia,222,2021/12/21
Morocco,221,2021/12/15
Malta,221,2021/12/17
Ghana,221,2021/12/20
Bahrain,221,2021/12/24
Japan,220,2021/12/22
Uzbekistan,219,2021/12/16
Nepal,218,2021/12/20
Japan,218,2021/12/21
Myanmar,217,2021/12/17
Uzbekistan,217,2021/12/17
South Sudan,217,2021/12/21
Nepal,217,2021/12/22
Curacao,217,2021/12/23
Indonesia,216,2021/12/21
Indonesia,213,2021/12/16
Guatemala,213,2021/12/18
Greenland,213,2021/12/22
Comoros,213,2021/12/24
Myanmar,213,2021/12/24
Nepal,213,2021/12/26
Armenia,212,2021/12/15
Algeria,212,2021/12/16
Indonesia,212,2021/12/27
Myanmar,211,2021/12/16
Bangladesh,211,2021/12/19
Uzbekistan,209,2021/12/15
Morocco,209,2021/12/17
Uganda,209,2021/12/17
Gabon,209,2021/12/22
Singapore,209,2021/12/26
Nepal,209,2021/12/29
China,208,2021/12/26
Fiji,208,2021/12/27
Andorra,208,2021/12/28
China,207,2021/12/29
Dominican Republic,206,2021/12/15
Indonesia,205,2021/12/15
Morocco,205,2021/12/16
Uruguay,205,2021/12/19
Mali,205,2021/12/23
Indonesia,204,2021/12/24
Latvia,203,2021/12/26
Honduras,203,2021/12/27
Central African Republic,202,2021/12/27
United Arab Emirates,200,2021/12/16
Myanmar,200,2021/12/27
Myanmar,199,2021/12/22
Andorra,199,2021/12/23
Montenegro,198,2021/12/17
Curacao,198,2021/12/27
Kuwait,198,2021/12/27
Maldives,198,2021/12/29
Togo,197,2021/12/22
China,197,2021/12/28
Singapore,195,2021/12/20
Uzbekistan,194,2021/12/20
Indonesia,194,2021/12/29
Armenia,193,2021/12/17
Jamaica,192,2021/12/26
Bangladesh,191,2021/12/17
Mongolia,191,2021/12/22
San Marino,191,2021/12/22
North Macedonia,190,2021/12/19
Maldives,190,2021/12/28
Iceland,188,2021/12/17
Montenegro,187,2021/12/16
Qatar,187,2021/12/23
Uzbekistan,187,2021/12/23
Myanmar,187,2021/12/28
Uganda,186,2021/12/18
Morocco,186,2021/12/19
Qatar,185,2021/12/22
Iceland,183,2021/12/16
Dominican Republic,183,2021/12/18
Qatar,183,2021/12/21
Iraq,182,2021/12/18
Curacao,181,2021/12/22
Bahrain,181,2021/12/23
Uzbekistan,181,2021/12/25
Mali,181,2021/12/29
Armenia,180,2021/12/16
Japan,179,2021/12/18
Qatar,179,2021/12/18
Indonesia,179,2021/12/22
Tunisia,178,2021/12/19
Barbados,178,2021/12/23
Kuwait,178,2021/12/23
Montenegro,177,2021/12/19
Qatar,177,2021/12/20
