country,newCases,date
Moldova,177,2021/12/26
Aruba,176,2021/12/25
Myanmar,176,2021/12/25
Comoros,176,2021/12/29
Trinidad and Tobago,175,2021/12/27
Tanzania,174,2021/12/15
Uzbekistan,174,2021/12/19
Uzbekistan,174,2021/12/22
Guinea,174,2021/12/29
Iraq,172,2021/12/26
Cape Verde,172,2021/12/28
South Sudan,171,2021/12/22
Comoros,171,2021/12/23
Myanmar,170,2021/12/18
Qatar,170,2021/12/19
Cote d'Ivoire,170,2021/12/21
Kuwait,170,2021/12/24
Qatar,169,2021/12/16
Rwanda,169,2021/12/19
Togo,169,2021/12/21
Mauritania,169,2021/12/29
Malta,168,2021/12/15
Maldives,168,2021/12/25
Maldives,168,2021/12/27
Malta,167,2021/12/16
Albania,167,2021/12/26
Mali,167,2021/12/28
Iraq,166,2021/12/27
Qatar,165,2021/12/15
Uzbekistan,165,2021/12/24
Curacao,165,2021/12/26
Qatar,164,2021/12/17
Indonesia,164,2021/12/19
Japan,163,2021/12/16
Montenegro,163,2021/12/18
Guatemala,163,2021/12/24
Japan,163,2021/12/27
Seychelles,163,2021/12/27
Maldives,162,2021/12/15
Faeroe Islands,162,2021/12/17
Dominican Republic,162,2021/12/20
Japan,161,2021/12/17
Uzbekistan,161,2021/12/18
Bahrain,161,2021/12/22
Nepal,160,2021/12/16
Japan,159,2021/12/15
Montenegro,159,2021/12/15
Andorra,159,2021/12/24
Aruba,159,2021/12/24
Bahamas,159,2021/12/24
Nepal,158,2021/12/18
Jamaica,158,2021/12/25
Nepal,157,2021/12/25
Mongolia,157,2021/12/27
Armenia,156,2021/12/18
Iraq,156,2021/12/25
Senegal,156,2021/12/29
Iceland,153,2021/12/15
Rwanda,153,2021/12/17
Philippines,153,2021/12/20
San Marino,153,2021/12/20
Myanmar,152,2021/12/19
Armenia,152,2021/12/22
Philippines,152,2021/12/27
Croatia,151,2021/12/26
San Marino,151,2021/12/29
Japan,150,2021/12/19
Kuwait,150,2021/12/25
United Arab Emirates,148,2021/12/15
Angola,148,2021/12/20
Cayman Islands,148,2021/12/21
Cape Verde,148,2021/12/25
Aruba,148,2021/12/26
Faeroe Islands,147,2021/12/23
Saudi Arabia,146,2021/12/20
Maldives,145,2021/12/23
Mali,145,2021/12/25
Uzbekistan,145,2021/12/27
Cuba,145,2021/12/28
Dominica,144,2021/12/20
Kuwait,143,2021/12/22
Barbados,143,2021/12/25
Comoros,143,2021/12/25
Uzbekistan,143,2021/12/26
Rwanda,142,2021/12/16
Cayman Islands,141,2021/12/23
Bahamas,140,2021/12/23
China,140,2021/12/24
Dominican Republic,139,2021/12/21
Uzbekistan,139,2021/12/29
Comoros,138,2021/12/28
Mali,137,2021/12/15
Armenia,137,2021/12/21
Sudan,136,2021/12/22
Indonesia,136,2021/12/23
New Zealand,136,2021/12/25
Armenia,135,2021/12/24
Angola,134,2021/12/15
Nepal,133,2021/12/19
Indonesia,133,2021/12/20
Montenegro,132,2021/12/20
Maldives,132,2021/12/26
Maldives,131,2021/12/18
Greenland,131,2021/12/28
Armenia,130,2021/12/19
British Virgin Islands,130,2021/12/23
San Marino,130,2021/12/27
Armenia,129,2021/12/23
Philippines,129,2021/12/24
Mali,128,2021/12/18
Togo,128,2021/12/19
Cuba,128,2021/12/27
Myanmar,127,2021/12/20
Mali,126,2021/12/17
North Macedonia,126,2021/12/20
Comoros,126,2021/12/27
Honduras,126,2021/12/28
Sudan,126,2021/12/28
Rwanda,125,2021/12/15
China,125,2021/12/17
Cuba,125,2021/12/25
Uzbekistan,124,2021/12/21
Aruba,124,2021/12/23
Comoros,124,2021/12/26
Gibraltar,124,2021/12/29
Mauritania,123,2021/12/28
Bangladesh,122,2021/12/18
Latvia,122,2021/12/25
Cuba,122,2021/12/26
Liechtenstein,121,2021/12/21
Maldives,121,2021/12/21
Aruba,121,2021/12/22
Maldives,121,2021/12/22
Monaco,121,2021/12/23
Oman,121,2021/12/26
Albania,120,2021/12/20
Maldives,120,2021/12/24
Philippines,119,2021/12/23
North Macedonia,119,2021/12/27
Armenia,118,2021/12/25
Eswatini,118,2021/12/27
El Salvador,117,2021/12/16
Bahamas,117,2021/12/20
Saudi Arabia,116,2021/12/18
Mali,114,2021/12/19
Bahrain,114,2021/12/21
Cape Verde,114,2021/12/24
Congo,113,2021/12/16
Angola,112,2021/12/17
Faeroe Islands,112,2021/12/27
Barbados,112,2021/12/28
Costa Rica,110,2021/12/17
Myanmar,110,2021/12/26
Mauritania,110,2021/12/27
Japan,109,2021/12/20
Fiji,109,2021/12/24
Armenia,109,2021/12/28
New Caledonia,109,2021/12/29
San Marino,108,2021/12/16
Angola,108,2021/12/18
Mali,108,2021/12/24
Guinea,108,2021/12/28
Suriname,108,2021/12/28
Isle of Man,106,2021/12/22
Mali,105,2021/12/21
Bahamas,105,2021/12/22
Suriname,105,2021/12/27
Liechtenstein,105,2021/12/28
Maldives,104,2021/12/17
Saudi Arabia,104,2021/12/19
Isle of Man,104,2021/12/21
Oman,104,2021/12/29
China,102,2021/12/19
Bermuda,102,2021/12/20
Morocco,102,2021/12/20
Armenia,102,2021/12/26
Philippines,101,2021/12/16
Bahrain,101,2021/12/18
Bahrain,101,2021/12/20
Cape Verde,101,2021/12/27
Maldives,100,2021/12/20
Faeroe Islands,100,2021/12/22
Uzbekistan,100,2021/12/28
China,99,2021/12/22
Jamaica,99,2021/12/22
Guatemala,98,2021/12/25
Maldives,97,2021/12/16
Bermuda,97,2021/12/23
Faeroe Islands,96,2021/12/19
Cape Verde,96,2021/12/23
San Marino,96,2021/12/23
Monaco,96,2021/12/29
New Zealand,95,2021/12/15
Somalia,95,2021/12/17
Seychelles,95,2021/12/29
Curacao,94,2021/12/21
Maldives,93,2021/12/19
El Salvador,93,2021/12/21
Uganda,92,2021/12/15
Paraguay,92,2021/12/17
San Marino,92,2021/12/17
Kuwait,92,2021/12/21
Philippines,91,2021/12/18
Guatemala,91,2021/12/27
Uganda,90,2021/12/16
Paraguay,90,2021/12/21
Barbados,90,2021/12/22
Dominica,90,2021/12/22
Bahrain,89,2021/12/19
Cote d'Ivoire,89,2021/12/20
Cuba,89,2021/12/23
San Marino,88,2021/12/15
Saudi Arabia,88,2021/12/15
Dominican Republic,88,2021/12/16
Armenia,88,2021/12/29
Seychelles,87,2021/12/16
Gabon,87,2021/12/20
Kyrgyzstan,87,2021/12/22
China,87,2021/12/23
Guyana,87,2021/12/29
Saudi Arabia,85,2021/12/16
Mauritius,85,2021/12/29
Togo,84,2021/12/17
Angola,83,2021/12/16
Isle of Man,83,2021/12/16
Mali,83,2021/12/16
China,83,2021/12/18
Mali,83,2021/12/22
Kyrgyzstan,83,2021/12/24
Suriname,82,2021/12/21
Isle of Man,81,2021/12/15
Kuwait,81,2021/12/17
China,81,2021/12/20
Lesotho,81,2021/12/20
Seychelles,81,2021/12/20
Mauritania,81,2021/12/24
South Sudan,80,2021/12/16
Saudi Arabia,80,2021/12/17
Kuwait,80,2021/12/20
Cuba,80,2021/12/22
El Salvador,80,2021/12/24
Monaco,80,2021/12/25
Monaco,80,2021/12/28
New Zealand,79,2021/12/16
Isle of Man,79,2021/12/17
Cuba,79,2021/12/20
Monaco,79,2021/12/21
San Marino,79,2021/12/24
Guinea,79,2021/12/26
Oman,79,2021/12/28
Barbados,78,2021/12/15
Paraguay,78,2021/12/15
China,78,2021/12/21
Gibraltar,78,2021/12/27
Cuba,77,2021/12/18
Gibraltar,77,2021/12/28
China,76,2021/12/16
Cuba,76,2021/12/24
Faeroe Islands,76,2021/12/24
Jamaica,76,2021/12/24
China,75,2021/12/15
Kuwait,75,2021/12/19
Guinea,74,2021/12/22
Cuba,73,2021/12/17
Cuba,72,2021/12/16
Syria,72,2021/12/16
Armenia,72,2021/12/20
Liberia,72,2021/12/20
Tunisia,72,2021/12/20
Aruba,72,2021/12/21
Liechtenstein,72,2021/12/29
Sierra Leone,72,2021/12/29
Ghana,71,2021/12/16
Jamaica,71,2021/12/20
New Zealand,71,2021/12/23
New Zealand,71,2021/12/29
Honduras,70,2021/12/15
Syria,70,2021/12/15
Angola,70,2021/12/19
New Zealand,70,2021/12/19
Gibraltar,70,2021/12/24
Guatemala,69,2021/12/19
Mauritania,69,2021/12/23
Oman,69,2021/12/27
Lesotho,69,2021/12/29
Costa Rica,68,2021/12/15
Mali,68,2021/12/26
Greenland,67,2021/12/23
Kyrgyzstan,67,2021/12/26
Guyana,66,2021/12/15
Syria,66,2021/12/17
Guyana,66,2021/12/18
Sudan,66,2021/12/27
South Sudan,65,2021/12/15
Belize,65,2021/12/22
Philippines,65,2021/12/22
Mauritius,65,2021/12/26
Guatemala,64,2021/12/20
Togo,64,2021/12/20
Monaco,64,2021/12/24
Mauritania,64,2021/12/25
Isle of Man,63,2021/12/18
Sudan,63,2021/12/23
Cuba,62,2021/12/15
Gabon,62,2021/12/17
Syria,62,2021/12/18
Cuba,62,2021/12/19
Guinea,62,2021/12/25
Eswatini,62,2021/12/26
Cayman Islands,61,2021/12/17
Cuba,61,2021/12/21
Afghanistan,60,2021/12/16
Isle of Man,60,2021/12/19
Oman,60,2021/12/19
Gibraltar,60,2021/12/23
Mauritius,59,2021/12/15
Jamaica,59,2021/12/16
Kazakhstan,59,2021/12/17
New Zealand,59,2021/12/18
Mali,59,2021/12/20
Gibraltar,59,2021/12/21
New Zealand,59,2021/12/22
Belize,59,2021/12/24
Cape Verde,59,2021/12/26
Senegal,59,2021/12/26
Armenia,59,2021/12/27
Mauritius,58,2021/12/19
Syria,58,2021/12/19
New Zealand,58,2021/12/21
Gibraltar,58,2021/12/25
Kuwait,57,2021/12/15
Isle of Man,57,2021/12/20
New Caledonia,57,2021/12/20
Faeroe Islands,57,2021/12/21
Mauritania,57,2021/12/22
Belize,57,2021/12/23
Mauritius,57,2021/12/24
Greenland,57,2021/12/27
Senegal,57,2021/12/27
Mauritania,56,2021/12/19
Mauritania,56,2021/12/21
Afghanistan,56,2021/12/26
Gabon,55,2021/12/15
Bahrain,55,2021/12/16
Costa Rica,55,2021/12/16
Cote d'Ivoire,55,2021/12/16
Barbados,55,2021/12/17
Syria,55,2021/12/20
Syria,55,2021/12/21
Fiji,55,2021/12/22
British Virgin Islands,55,2021/12/27
Gibraltar,54,2021/12/16
Liechtenstein,54,2021/12/17
Mauritius,54,2021/12/17
New Zealand,54,2021/12/28
Bahrain,53,2021/12/15
El Salvador,53,2021/12/17
Guyana,53,2021/12/19
Jamaica,53,2021/12/23
Saint Lucia,53,2021/12/29
Bahrain,52,2021/12/17
Gibraltar,52,2021/12/22
Seychelles,52,2021/12/23
Kuwait,51,2021/12/18
Kyrgyzstan,51,2021/12/21
Nicaragua,51,2021/12/21
Papua New Guinea,51,2021/12/24
Senegal,51,2021/12/25
Mauritania,51,2021/12/26
Barbados,51,2021/12/27
Syria,50,2021/12/22
Guinea,50,2021/12/23
Syria,50,2021/12/23
Bermuda,50,2021/12/28
Liberia,50,2021/12/29
New Zealand,49,2021/12/17
Barbados,49,2021/12/20
Sierra Leone,49,2021/12/24
Gambia,49,2021/12/27
Gibraltar,48,2021/12/18
Belize,48,2021/12/20
Sierra Leone,48,2021/12/22
Cayman Islands,47,2021/12/15
Philippines,47,2021/12/15
Gibraltar,47,2021/12/17
El Salvador,47,2021/12/18
Monaco,47,2021/12/18
Sierra Leone,47,2021/12/25
Senegal,47,2021/12/28
Mauritania,46,2021/12/15
Mauritius,46,2021/12/16
Jamaica,46,2021/12/18
El Salvador,46,2021/12/19
Moldova,46,2021/12/19
Oman,46,2021/12/23
Senegal,46,2021/12/24
Syria,46,2021/12/24
China,46,2021/12/25
Kyrgyzstan,46,2021/12/28
Jamaica,45,2021/12/17
Cote d'Ivoire,45,2021/12/18
Suriname,45,2021/12/18
Seychelles,45,2021/12/22
Nicaragua,45,2021/12/28
Barbados,44,2021/12/16
British Virgin Islands,44,2021/12/16
Guyana,44,2021/12/16
Kuwait,44,2021/12/16
Gibraltar,44,2021/12/19
Liechtenstein,44,2021/12/23
Guyana,44,2021/12/24
Guyana,44,2021/12/25
Syria,44,2021/12/25
Barbados,44,2021/12/26
New Zealand,44,2021/12/26
Bahamas,43,2021/12/15
Aruba,43,2021/12/16
Barbados,43,2021/12/18
Comoros,43,2021/12/18
Mauritania,43,2021/12/20
Monaco,43,2021/12/27
Afghanistan,42,2021/12/19
Liechtenstein,42,2021/12/20
Oman,42,2021/12/22
Greenland,41,2021/12/15
Liechtenstein,41,2021/12/16
Aruba,41,2021/12/20
Mauritius,41,2021/12/22
Cameroon,41,2021/12/23
Mali,41,2021/12/27
Turks and Caicos Islands,41,2021/12/27
Grenada,41,2021/12/29
Saint Kitts and Nevis,41,2021/12/29
Gibraltar,40,2021/12/15
Liechtenstein,40,2021/12/15
Seychelles,40,2021/12/15
Mauritania,40,2021/12/16
Kyrgyzstan,40,2021/12/18
Guyana,40,2021/12/22
Sierra Leone,40,2021/12/28
Syria,40,2021/12/28
Kyrgyzstan,40,2021/12/29
Curacao,39,2021/12/15
Kyrgyzstan,39,2021/12/16
Guatemala,39,2021/12/26
Dominica,39,2021/12/27
Seychelles,39,2021/12/28
Afghanistan,39,2021/12/29
Papua New Guinea,38,2021/12/17
Suriname,38,2021/12/17
Mauritius,38,2021/12/18
Jamaica,38,2021/12/21
El Salvador,38,2021/12/23
Guinea,38,2021/12/24
Liechtenstein,38,2021/12/26
Sierra Leone,38,2021/12/26
Syria,38,2021/12/26
Mauritius,38,2021/12/27
Syria,38,2021/12/27
Saint Lucia,38,2021/12/28
Mauritania,37,2021/12/18
Anguilla,37,2021/12/20
Curacao,37,2021/12/20
Afghanistan,37,2021/12/23
Isle of Man,37,2021/12/23
Sierra Leone,37,2021/12/23
Syria,37,2021/12/29
Cote d'Ivoire,36,2021/12/15
Curacao,36,2021/12/16
New Zealand,36,2021/12/20
Cape Verde,36,2021/12/22
Isle of Man,36,2021/12/28
Belize,35,2021/12/15
Aruba,35,2021/12/17
Saint Vincent and the Grenadines,35,2021/12/17
Guyana,35,2021/12/21
Sierra Leone,35,2021/12/27
Suriname,34,2021/12/15
Cote d'Ivoire,34,2021/12/17
Sierra Leone,34,2021/12/19
Papua New Guinea,34,2021/12/22
Senegal,33,2021/12/23
New Zealand,33,2021/12/27
Kosovo,33,2021/12/29
New Caledonia,32,2021/12/16
Greenland,32,2021/12/17
Kyrgyzstan,32,2021/12/19
Saint Lucia,32,2021/12/22
Guyana,32,2021/12/23
Guyana,32,2021/12/28
Bonaire Sint Eustatius and Saba,32,2021/12/29
Bermuda,31,2021/12/16
Oman,31,2021/12/20
New Caledonia,31,2021/12/23
Afghanistan,31,2021/12/28
Sao Tome and Principe,31,2021/12/28
Belize,30,2021/12/16
Turks and Caicos Islands,30,2021/12/23
Faeroe Islands,30,2021/12/25
Dominica,29,2021/12/15
Cayman Islands,29,2021/12/16
Belize,29,2021/12/17
Kyrgyzstan,29,2021/12/17
Aruba,29,2021/12/19
Brunei,29,2021/12/27
Eritrea,29,2021/12/28
Saint Kitts and Nevis,29,2021/12/28
Sao Tome and Principe,29,2021/12/29
Kyrgyzstan,28,2021/12/15
Haiti,28,2021/12/16
Comoros,28,2021/12/20
Fiji,28,2021/12/20
Belize,28,2021/12/21
Eritrea,28,2021/12/21
Benin,28,2021/12/22
Liechtenstein,28,2021/12/22
Mauritius,28,2021/12/25
Anguilla,28,2021/12/28
Aruba,27,2021/12/15
Eritrea,27,2021/12/16
Curacao,27,2021/12/17
Aruba,27,2021/12/18
Curacao,27,2021/12/18
Gambia,27,2021/12/21
Senegal,27,2021/12/22
Saint Lucia,27,2021/12/25
Saint Lucia,27,2021/12/26
Togo,26,2021/12/15
Mauritania,26,2021/12/17
Saint Vincent and the Grenadines,26,2021/12/21
Saint Vincent and the Grenadines,26,2021/12/22
Jamaica,25,2021/12/15
Afghanistan,25,2021/12/22
French Polynesia,25,2021/12/22
Hong Kong,25,2021/12/25
Togo,24,2021/12/16
Bahamas,24,2021/12/17
New Caledonia,24,2021/12/17
Seychelles,24,2021/12/21
Suriname,24,2021/12/23
Eritrea,24,2021/12/24
Isle of Man,24,2021/12/24
Haiti,24,2021/12/27
Guyana,23,2021/12/17
Curacao,23,2021/12/19
Kyrgyzstan,23,2021/12/20
Bahamas,23,2021/12/21
Cape Verde,23,2021/12/21
Niger,23,2021/12/22
Saint Lucia,23,2021/12/24
Antigua and Barbuda,23,2021/12/27
Oman,22,2021/12/16
Eritrea,22,2021/12/18
Philippines,22,2021/12/19
Senegal,22,2021/12/20
Oman,22,2021/12/21
Bahamas,21,2021/12/16
Gibraltar,21,2021/12/20
Guyana,21,2021/12/20
Niger,21,2021/12/24
Suriname,21,2021/12/24
Guyana,21,2021/12/26
Djibouti,21,2021/12/27
Oman,20,2021/12/15
Greenland,20,2021/12/16
Monaco,20,2021/12/19
Senegal,20,2021/12/19
Kosovo,20,2021/12/22
Suriname,20,2021/12/22
Taiwan,20,2021/12/24
Antigua and Barbuda,20,2021/12/25
Eritrea,20,2021/12/25
Liechtenstein,20,2021/12/27
Papua New Guinea,20,2021/12/27
Fiji,19,2021/12/17
Sierra Leone,19,2021/12/18
Afghanistan,19,2021/12/21
Papua New Guinea,19,2021/12/23
Taiwan,19,2021/12/28
Cape Verde,18,2021/12/15
Eritrea,18,2021/12/17
Sierra Leone,18,2021/12/17
Bonaire Sint Eustatius and Saba,18,2021/12/22
Haiti,18,2021/12/22
Saint Vincent and the Grenadines,18,2021/12/24
Bonaire Sint Eustatius and Saba,18,2021/12/25
Taiwan,18,2021/12/25
Niger,18,2021/12/27
Niger,18,2021/12/28
Comoros,17,2021/12/17
Saint Lucia,17,2021/12/20
New Caledonia,17,2021/12/21
Anguilla,17,2021/12/24
Saint Lucia,17,2021/12/27
South Sudan,17,2021/12/28
Eritrea,17,2021/12/29
Cape Verde,16,2021/12/17
Cape Verde,16,2021/12/18
Brunei,16,2021/12/19
Cape Verde,16,2021/12/19
Eritrea,16,2021/12/20
Saint Lucia,16,2021/12/23
Kosovo,16,2021/12/25
Turks and Caicos Islands,16,2021/12/25
Monaco,16,2021/12/26
Afghanistan,16,2021/12/27
Eritrea,16,2021/12/27
New Caledonia,16,2021/12/27
Taiwan,16,2021/12/27
Bonaire Sint Eustatius and Saba,16,2021/12/28
Djibouti,16,2021/12/29
Taiwan,15,2021/12/17
Niger,15,2021/12/20
Sierra Leone,15,2021/12/21
New Caledonia,15,2021/12/22
Grenada,15,2021/12/23
Suriname,15,2021/12/25
Cambodia,15,2021/12/27
Saint Vincent and the Grenadines,15,2021/12/28
Haiti,14,2021/12/15
Cape Verde,14,2021/12/16
Senegal,14,2021/12/17
Bonaire Sint Eustatius and Saba,14,2021/12/18
Niger,14,2021/12/18
Liechtenstein,14,2021/12/19
Mauritius,14,2021/12/20
Taiwan,14,2021/12/22
Saint Kitts and Nevis,14,2021/12/25
Hong Kong,14,2021/12/29
Taiwan,14,2021/12/29
Bonaire Sint Eustatius and Saba,13,2021/12/16
Comoros,13,2021/12/16
Haiti,13,2021/12/18
Taiwan,13,2021/12/18
Saint Lucia,13,2021/12/19
Liberia,13,2021/12/21
Senegal,13,2021/12/21
Taiwan,13,2021/12/23
Kosovo,13,2021/12/24
Djibouti,13,2021/12/25
Isle of Man,13,2021/12/25
Eritrea,13,2021/12/26
Guinea,13,2021/12/27
Isle of Man,13,2021/12/27
Kosovo,13,2021/12/28
Djibouti,12,2021/12/15
Saint Lucia,12,2021/12/16
Taiwan,12,2021/12/16
Antigua and Barbuda,12,2021/12/18
Kosovo,12,2021/12/18
Senegal,12,2021/12/18
Grenada,12,2021/12/22
Eritrea,12,2021/12/23
Kosovo,12,2021/12/26
Guyana,12,2021/12/27
Eritrea,11,2021/12/15
Fiji,11,2021/12/15
Kosovo,11,2021/12/15
Senegal,11,2021/12/15
Sierra Leone,11,2021/12/15
Kosovo,11,2021/12/17
Afghanistan,11,2021/12/18
Bonaire Sint Eustatius and Saba,11,2021/12/19
Taiwan,11,2021/12/20
Saint Lucia,11,2021/12/21
Antigua and Barbuda,11,2021/12/23
Turks and Caicos Islands,11,2021/12/24
Sao Tome and Principe,11,2021/12/25
Bonaire Sint Eustatius and Saba,11,2021/12/27
Benin,10,2021/12/15
Saint Lucia,10,2021/12/15
Turks and Caicos Islands,10,2021/12/15
Hong Kong,10,2021/12/16
Senegal,10,2021/12/16
Eritrea,10,2021/12/19
Suriname,10,2021/12/19
Afghanistan,10,2021/12/20
Brunei,10,2021/12/20
Taiwan,10,2021/12/21
Eritrea,10,2021/12/22
Djibouti,10,2021/12/28
Brunei,9,2021/12/15
Niger,9,2021/12/16
Afghanistan,9,2021/12/17
Brunei,9,2021/12/17
Saint Lucia,9,2021/12/17
Bonaire Sint Eustatius and Saba,9,2021/12/20
Turks and Caicos Islands,9,2021/12/20
Kosovo,9,2021/12/21
Bonaire Sint Eustatius and Saba,9,2021/12/23
Djibouti,9,2021/12/23
Gambia,9,2021/12/23
Afghanistan,9,2021/12/24
Bonaire Sint Eustatius and Saba,9,2021/12/24
Hong Kong,9,2021/12/26
Hong Kong,9,2021/12/27
Haiti,9,2021/12/29
Cambodia,8,2021/12/15
Kosovo,8,2021/12/16
Antigua and Barbuda,8,2021/12/17
Cambodia,8,2021/12/17
Hong Kong,8,2021/12/19
Djibouti,8,2021/12/21
French Polynesia,8,2021/12/21
Hong Kong,8,2021/12/21
Brunei,8,2021/12/22
Afghanistan,8,2021/12/25
Grenada,8,2021/12/25
Guinea-Bissau,8,2021/12/28
Taiwan,7,2021/12/15
Cambodia,7,2021/12/16
French Polynesia,7,2021/12/16
Hong Kong,7,2021/12/17
Turks and Caicos Islands,7,2021/12/17
Djibouti,7,2021/12/19
Cambodia,7,2021/12/20
Cape Verde,7,2021/12/20
Hong Kong,7,2021/12/20
Saint Kitts and Nevis,7,2021/12/20
Hong Kong,7,2021/12/22
Saint Kitts and Nevis,7,2021/12/24
Equatorial Guinea,7,2021/12/25
Saint Kitts and Nevis,7,2021/12/26
Equatorial Guinea,7,2021/12/28
Grenada,7,2021/12/28
Turks and Caicos Islands,7,2021/12/28
Papua New Guinea,7,2021/12/29
Saint Vincent and the Grenadines,7,2021/12/29
Bonaire Sint Eustatius and Saba,6,2021/12/15
Niger,6,2021/12/15
Yemen,6,2021/12/15
Gambia,6,2021/12/17
Yemen,6,2021/12/17
Cambodia,6,2021/12/19
Taiwan,6,2021/12/19
Brunei,6,2021/12/21
Saint Kitts and Nevis,6,2021/12/22
Turks and Caicos Islands,6,2021/12/22
Cambodia,6,2021/12/24
French Polynesia,6,2021/12/27
Hong Kong,6,2021/12/28
Afghanistan,5,2021/12/15
Equatorial Guinea,5,2021/12/15
Yemen,5,2021/12/16
Cambodia,5,2021/12/18
Hong Kong,5,2021/12/18
Turks and Caicos Islands,5,2021/12/18
Yemen,5,2021/12/18
Sierra Leone,5,2021/12/20
Bonaire Sint Eustatius and Saba,5,2021/12/21
Equatorial Guinea,5,2021/12/23
Niger,5,2021/12/23
Haiti,5,2021/12/24
Hong Kong,5,2021/12/24
Cambodia,5,2021/12/25
Niger,5,2021/12/25
Bonaire Sint Eustatius and Saba,5,2021/12/26
Grenada,5,2021/12/27
Saint Kitts and Nevis,5,2021/12/27
Cambodia,5,2021/12/28
Yemen,5,2021/12/28
Comoros,4,2021/12/15
Papua New Guinea,4,2021/12/15
Brunei,4,2021/12/16
Bhutan,4,2021/12/17
Bonaire Sint Eustatius and Saba,4,2021/12/17
Grenada,4,2021/12/17
Kosovo,4,2021/12/19
Yemen,4,2021/12/19
Cambodia,4,2021/12/21
Antigua and Barbuda,4,2021/12/22
Cambodia,4,2021/12/23
Haiti,4,2021/12/23
Kosovo,4,2021/12/23
Sao Tome and Principe,4,2021/12/23
Guinea-Bissau,4,2021/12/24
Yemen,4,2021/12/24
Cambodia,4,2021/12/26
Djibouti,4,2021/12/26
Faeroe Islands,4,2021/12/26
Guinea-Bissau,4,2021/12/26
Yemen,4,2021/12/26
Kosovo,4,2021/12/27
Brunei,4,2021/12/29
Cambodia,4,2021/12/29
Bhutan,3,2021/12/15
Guinea-Bissau,3,2021/12/16
Saint Kitts and Nevis,3,2021/12/17
Djibouti,3,2021/12/20
Haiti,3,2021/12/20
Kosovo,3,2021/12/20
Antigua and Barbuda,3,2021/12/21
Cambodia,3,2021/12/22
Brunei,3,2021/12/23
Sao Tome and Principe,3,2021/12/24
Niger,3,2021/12/26
Sao Tome and Principe,3,2021/12/26
Yemen,3,2021/12/27
Brunei,3,2021/12/28
Guinea-Bissau,2,2021/12/15
Sao Tome and Principe,2,2021/12/16
Timor,2,2021/12/17
Guinea-Bissau,2,2021/12/21
Papua New Guinea,2,2021/12/21
Hong Kong,2,2021/12/23
Yemen,2,2021/12/23
Saint Pierre and Miquelon,2,2021/12/24
Yemen,2,2021/12/25
Solomon Islands,2,2021/12/27
Haiti,2,2021/12/28
Guinea-Bissau,2,2021/12/29
Solomon Islands,2,2021/12/29
Yemen,2,2021/12/29
French Polynesia,1,2021/12/15
Hong Kong,1,2021/12/15
Saint Kitts and Nevis,1,2021/12/15
Antigua and Barbuda,1,2021/12/16
Saint Kitts and Nevis,1,2021/12/16
Djibouti,1,2021/12/17
Equatorial Guinea,1,2021/12/17
Brunei,1,2021/12/18
Djibouti,1,2021/12/18
Guinea-Bissau,1,2021/12/18
Timor,1,2021/12/18
Bhutan,1,2021/12/19
Grenada,1,2021/12/20
Montserrat,1,2021/12/20
Yemen,1,2021/12/20
Bhutan,1,2021/12/21
Grenada,1,2021/12/21
Saint Kitts and Nevis,1,2021/12/21
Sao Tome and Principe,1,2021/12/21
Yemen,1,2021/12/21
Bhutan,1,2021/12/22
Sao Tome and Principe,1,2021/12/22
French Polynesia,1,2021/12/23
Bhutan,1,2021/12/26
Macao,1,2021/12/27
Sao Tome and Principe,1,2021/12/27
San Marino,1,2021/12/28
Andorra,0,2021/12/15
Anguilla,0,2021/12/15
Antigua and Barbuda,0,2021/12/15
Bermuda,0,2021/12/15
Botswana,0,2021/12/15
British Virgin Islands,0,2021/12/15
Burkina Faso,0,2021/12/15
Cameroon,0,2021/12/15
Central African Republic,0,2021/12/15
Chad,0,2021/12/15
Congo,0,2021/12/15
Cook Islands,0,2021/12/15
El Salvador,0,2021/12/15
Faeroe Islands,0,2021/12/15
Falkland Islands,0,2021/12/15
Gambia,0,2021/12/15
Grenada,0,2021/12/15
Guinea,0,2021/12/15
International,0,2021/12/15
Kiribati,0,2021/12/15
Liberia,0,2021/12/15
Macao,0,2021/12/15
Madagascar,0,2021/12/15
