country,population
World,NaN
USA,"2,463,115"
India,"488,281"
Brazil,"296,858"
UK,"6,024,150"
France,"2,882,750"
Russia,"1,655,152"
Turkey,"1,402,186"
Germany,"1,064,549"
Spain,"1,415,368"
Italy,"2,374,048"
Iran,"493,868"
Argentina,"621,462"
Colombia,"578,135"
Indonesia,"230,882"
Poland,"727,478"
Mexico,"95,177"
Ukraine,"389,178"
South Africa,"353,174"
Netherlands,"1,227,742"
Philippines,"226,985"
Malaysia,"1,258,865"
Czechia,"4,397,305"
Canada,"1,380,413"
Peru,"651,425"
Thailand,"246,500"
Belgium,"2,359,466"
Iraq,"405,598"
Romania,"904,340"
Chile,"1,422,106"
Vietnam,"762,794"
Japan,"234,287"
Bangladesh,"69,188"
Portugal,"2,683,016"
Israel,"4,262,711"
Switzerland,"1,656,045"
Sweden,"1,497,747"
Greece,"4,699,841"
Serbia,"840,274"
Pakistan,"103,841"
Austria,"13,720,588"
Hungary,"959,041"
Jordan,"1,320,800"
Kazakhstan,"605,539"
Morocco,"290,350"
Cuba,"1,036,674"
Georgia,"3,281,806"
Ireland,"1,986,691"
Slovakia,"939,018"
Denmark,"18,587,466"
Nepal,"163,329"
UAE,"11,222,250"
Bulgaria,"1,096,271"
Lebanon,"707,382"
Tunisia,"284,838"
Croatia,"932,767"
Belarus,"1,173,865"
S. Korea,"307,857"
Bolivia,"221,100"
Guatemala,"178,710"
Azerbaijan,"573,093"
Australia,"2,160,296"
Sri Lanka,"265,752"
Costa Rica,"583,929"
Saudi Arabia,"943,660"
Ecuador,"120,313"
Myanmar,"110,562"
Lithuania,"2,496,431"
Panama,"1,032,521"
Slovenia,"1,006,670"
Paraguay,"282,835"
Venezuela,"118,633"
Palestine,"542,856"
Ethiopia,"34,807"
Dominican Republic,"236,040"
Kuwait,"1,385,215"
Uruguay,"1,278,799"
Norway,"1,703,125"
Mongolia,"1,200,193"
Libya,"291,993"
Egypt,"35,094"
Honduras,"112,550"
Moldova,"603,417"
Armenia,"870,487"
Oman,"4,715,084"
Kenya,"55,026"
Bosnia and Herzegovina,"459,647"
Bahrain,"4,533,198"
Finland,"1,574,712"
Singapore,"3,564,155"
Latvia,"3,035,549"
Zambia,"156,379"
Qatar,"1,138,864"
Estonia,"1,925,533"
Nigeria,"17,880"
North Macedonia,"777,285"
Botswana,"836,475"
Algeria,"5,125"
Zimbabwe,"122,741"
Albania,"520,352"
Uzbekistan,"40,290"
Mozambique,"34,261"
Kyrgyzstan,"285,236"
Cyprus,"7,764,257"
Montenegro,"1,592,178"
Afghanistan,"20,524"
Namibia,"335,993"
Ghana,"66,716"
Uganda,"45,330"
El Salvador,"234,146"
Cambodia,"162,287"
Rwanda,"302,992"
Laos,"124,197"
Cameroon,"63,607"
Luxembourg,"5,969,720"
Maldives,"3,410,495"
Jamaica,"239,387"
Trinidad and Tobago,"364,589"
Réunion,"1,573,896"
Angola,"37,573"
DRC,"9,040"
Malawi,"24,786"
Senegal,"53,291"
Ivory Coast,"45,591"
Eswatini,"368,081"
Malta,"2,732,714"
Guadeloupe,"1,518,071"
Fiji,"525,422"
Suriname,"294,238"
French Guiana,"1,606,313"
Syria,"8,063"
Madagascar,"11,156"
Martinique,"1,304,317"
Sudan,"12,402"
French Polynesia,NaN
Cabo Verde,"698,418"
Mauritania,"118,936"
Gabon,"647,888"
Guyana,"546,255"
Papua New Guinea,"27,075"
Belize,"952,845"
Guinea,"41,891"
Iceland,"4,066,492"
Burundi,"27,829"
Togo,"72,649"
Channel Islands,"6,483,024"
Lesotho,"159,885"
Barbados,"1,653,720"
Tanzania,NaN
Bahamas,"470,268"
Haiti,"11,404"
Seychelles,NaN
Benin,"47,957"
Andorra,"3,225,756"
Mayotte,"625,764"
Mauritius,"281,325"
Curaçao,"2,385,294"
Somalia,"23,629"
Aruba,"1,655,514"
Mali,"25,729"
Congo,"55,268"
Timor-Leste,"166,909"
Burkina Faso,"10,989"
Nicaragua,NaN
Taiwan,"391,191"
Tajikistan,NaN
South Sudan,"26,124"
Brunei ,"1,550,372"
New Zealand,"1,125,039"
Saint Lucia,"596,020"
Isle of Man,"1,559,595"
Djibouti,"257,627"
Equatorial Guinea,"178,759"
New Caledonia,"341,684"
Hong Kong,"3,963,016"
CAR,"15,035"
Gambia,"52,747"
Yemen,"8,608"
Cayman Islands,"3,228,870"
Gibraltar,"13,458,101"
San Marino,"3,149,505"
Eritrea,"6,544"
Niger,"8,037"
Comoros,NaN
Sierra Leone,"31,620"
Dominica,"1,770,773"
Bermuda,"11,441,120"
Grenada,"865,342"
Faeroe Islands,"13,328,450"
Guinea-Bissau,"54,658"
Liberia,"26,701"
Liechtenstein,"2,099,940"
Chad,"11,022"
St. Vincent Grenadines,"846,731"
Sint Maarten,"1,422,976"
Monaco,"1,385,744"
Antigua and Barbuda,"187,179"
Saint Martin,"1,975,995"
Sao Tome and Principe,"128,883"
British Virgin Islands,"3,058,197"
Caribbean Netherlands,"1,132,982"
Turks and Caicos,"2,399,357"
Saint Kitts and Nevis,"1,130,008"
Greenland,"2,503,329"
Bhutan,"1,671,370"
St. Barth,"5,693,509"
Anguilla,"3,379,283"
Wallis and Futuna,"1,874,246"
Saint Pierre Miquelon,"2,504,260"
Falkland Islands,"2,289,648"
Macao,"7,658"
Montserrat,"682,810"
Vatican City,NaN
Solomon Islands,"6,318"
Palau,"1,012,511"
Western Sahara,NaN
Vanuatu,"72,338"
Marshall Islands,NaN
Samoa,NaN
Saint Helena,NaN
Micronesia,NaN
Tonga,NaN
China,"111,163"
World,NaN
China,"111,163"
USA,"2,463,115"
India,"487,290"
Brazil,"296,858"
UK,"6,024,150"
France,"2,882,750"
Russia,"1,655,152"
Turkey,"1,402,186"
Germany,"1,064,549"
Spain,"1,415,368"
Italy,"2,374,048"
Iran,"493,868"
Argentina,"621,462"
Colombia,"578,135"
Indonesia,"230,882"
Poland,"727,478"
Mexico,"94,867"
Ukraine,"388,479"
South Africa,"353,174"
Netherlands,"1,227,742"
Philippines,"226,985"
Malaysia,"1,258,865"
Czechia,"4,388,092"
Canada,"1,380,413"
Peru,"651,425"
Thailand,"246,500"
Belgium,"2,352,342"
Iraq,"405,598"
Romania,"904,340"
Chile,"1,422,106"
Vietnam,"762,794"
Japan,"233,576"
Bangladesh,"69,188"
Portugal,"2,683,016"
Israel,"4,234,624"
Switzerland,"1,656,045"
Sweden,"1,497,747"
Greece,"4,699,841"
Serbia,"840,274"
Pakistan,"103,623"
Austria,"13,720,588"
Hungary,"957,195"
Jordan,"1,320,800"
Kazakhstan,"605,539"
Morocco,"290,350"
Cuba,"1,036,674"
Georgia,"3,271,655"
Ireland,"1,986,691"
Slovakia,"939,018"
Denmark,"18,587,466"
Nepal,"163,329"
UAE,"11,222,250"
Bulgaria,"1,096,271"
Lebanon,"707,382"
Tunisia,"284,838"
Croatia,"932,767"
Belarus,"1,173,865"
S. Korea,"307,857"
Guatemala,"178,710"
Bolivia,"221,100"
Azerbaijan,"573,093"
Sri Lanka,"265,752"
Costa Rica,"574,224"
Saudi Arabia,"943,660"
Ecuador,"120,313"
Australia,"2,152,148"
Myanmar,"110,562"
Lithuania,"2,496,431"
Panama,"1,032,521"
Slovenia,"1,006,670"
Paraguay,"282,835"
Venezuela,"118,633"
Palestine,"542,856"
Ethiopia,"34,807"
Dominican Republic,"236,040"
Kuwait,"1,385,215"
Uruguay,"1,278,799"
Norway,"1,703,125"
Libya,"291,993"
Mongolia,"1,200,193"
Egypt,"35,094"
Honduras,"112,402"
Moldova,"603,417"
Armenia,"868,750"
Oman,"4,715,084"
Kenya,"55,026"
Bosnia and Herzegovina,"459,647"
Bahrain,"4,533,198"
Finland,"1,574,712"
Singapore,"3,564,155"
Latvia,"3,035,549"
Zambia,"156,379"
Qatar,"1,138,864"
Estonia,"1,919,033"
Nigeria,"17,880"
North Macedonia,"777,285"
Botswana,"836,475"
Algeria,"5,125"
Zimbabwe,"122,741"
Albania,"520,352"
Uzbekistan,"40,290"
Mozambique,"34,261"
Kyrgyzstan,"285,236"
Cyprus,"7,764,257"
Montenegro,"1,592,178"
Afghanistan,"20,499"
Namibia,"335,993"
Ghana,"66,716"
Uganda,"45,330"
El Salvador,"234,146"
Cambodia,"162,287"
Rwanda,"302,992"
Laos,"124,197"
Cameroon,"63,607"
Luxembourg,"5,969,720"
Maldives,"3,410,495"
Jamaica,"239,387"
Trinidad and Tobago,"364,589"
Réunion,"1,573,896"
Angola,"37,573"
DRC,"9,040"
Malawi,"24,786"
Senegal,"53,291"
Ivory Coast,"45,591"
Eswatini,"368,081"
Malta,"2,732,714"
Guadeloupe,"1,518,071"
Fiji,"525,422"
Suriname,"291,333"
French Guiana,"1,606,313"
Syria,"8,063"
Madagascar,"11,156"
Martinique,"1,304,317"
Sudan,"12,402"
French Polynesia,NaN
Cabo Verde,"698,418"
Mauritania,"118,936"
Gabon,"647,888"
Guyana,"546,255"
Papua New Guinea,"27,075"
Belize,"952,845"
Guinea,"41,891"
Iceland,"4,066,492"
Togo,"72,466"
Burundi,"27,829"
Channel Islands,"6,483,024"
Lesotho,"159,885"
Barbados,"1,653,720"
Tanzania,NaN
Haiti,"11,404"
Bahamas,"468,495"
Seychelles,NaN
Benin,"47,957"
Andorra,"3,225,756"
Mayotte,"625,764"
Mauritius,"281,325"
Curaçao,"2,385,294"
Somalia,"23,629"
Aruba,"1,655,514"
Mali,"25,729"
Congo,"55,268"
Timor-Leste,"166,909"
Burkina Faso,"10,989"
Nicaragua,NaN
Taiwan,"391,191"
Tajikistan,NaN
South Sudan,"26,124"
Brunei ,"1,550,372"
New Zealand,"1,122,950"
Saint Lucia,"594,544"
Isle of Man,"1,559,595"
Djibouti,"257,627"
Equatorial Guinea,"178,759"
New Caledonia,"341,684"
Hong Kong,"3,963,016"
CAR,"15,035"
Gambia,"52,747"
Yemen,"8,608"
Cayman Islands,"3,228,870"
Gibraltar,"13,458,101"
San Marino,"3,149,505"
Eritrea,"6,544"
Niger,"8,037"
Sierra Leone,"31,620"
Dominica,"1,770,773"
Comoros,NaN
Bermuda,"11,441,120"
Faeroe Islands,"13,328,450"
Grenada,"855,413"
Guinea-Bissau,"54,658"
Liberia,"26,701"
Liechtenstein,"2,099,940"
Chad,"11,022"
St. Vincent Grenadines,"846,731"
Sint Maarten,"1,422,976"
Monaco,"1,385,744"
Antigua and Barbuda,"187,179"
Saint Martin,"1,975,995"
Sao Tome and Principe,"128,883"
British Virgin Islands,"3,058,197"
Caribbean Netherlands,"1,132,982"
Turks and Caicos,"2,399,357"
Saint Kitts and Nevis,"1,130,008"
Greenland,"2,503,329"
Bhutan,"1,671,370"
St. Barth,"5,693,509"
Anguilla,"3,379,283"
Wallis and Futuna,"1,874,246"
Saint Pierre Miquelon,"2,455,225"
Falkland Islands,"2,289,648"
Macao,"7,658"
Montserrat,"682,810"
Vatican City,NaN
Solomon Islands,"6,318"
Palau,"1,011,962"
Western Sahara,NaN
Vanuatu,"72,338"
Marshall Islands,NaN
Samoa,NaN
Saint Helena,NaN
Micronesia,NaN
Tonga,NaN
World,NaN
China,"111,163"
USA,"2,453,903"
India,"486,234"
Brazil,"296,858"
UK,"5,998,174"
Russia,"1,653,783"
France,"2,882,750"
Turkey,"1,397,719"
Germany,"1,064,549"
Spain,"1,415,368"
Italy,"2,353,686"
Iran,"493,868"
Argentina,"618,082"
Colombia,"576,650"
Indonesia,"229,699"
Poland,"724,722"
Mexico,"94,811"
Ukraine,"388,210"
South Africa,"352,510"
Netherlands,"1,227,742"
Philippines,"225,599"
Malaysia,"1,256,114"
Czechia,"4,377,410"
Peru,"649,998"
Canada,"1,380,413"
Thailand,"246,500"
Belgium,"2,339,183"
Iraq,"405,359"
Romania,"901,005"
Chile,"1,420,774"
Vietnam,"761,924"
Japan,"233,510"
Bangladesh,"69,069"
Portugal,"2,658,212"
Israel,"4,202,584"
Switzerland,"1,649,053"
Sweden,"1,497,747"
Serbia,"837,755"
Pakistan,"103,429"
Greece,"4,637,007"
Austria,"13,684,069"
Hungary,"956,380"
Jordan,"1,316,872"
Kazakhstan,"605,539"
Morocco,"289,645"
Cuba,"1,036,674"
Georgia,"3,261,771"
Slovakia,"936,214"
Ireland,"1,986,691"
Nepal,"163,068"
Denmark,"18,513,725"
UAE,"11,182,752"
Bulgaria,"1,090,036"
Lebanon,"707,382"
Tunisia,"282,892"
Croatia,"928,978"
Belarus,"1,173,552"
S. Korea,"307,857"
Guatemala,"178,290"
Azerbaijan,"572,456"
Bolivia,"221,100"
Sri Lanka,"265,752"
Costa Rica,"574,224"
Saudi Arabia,"940,244"
Ecuador,"120,313"
Myanmar,"110,362"
Lithuania,"2,488,970"
Panama,"1,028,102"
Australia,"2,144,214"
Paraguay,"282,204"
Slovenia,"1,003,070"
Venezuela,"118,633"
Palestine,"542,856"
Ethiopia,"34,698"
Dominican Republic,"235,317"
Kuwait,"1,380,139"
Uruguay,"1,273,273"
Norway,"1,703,125"
Libya,"291,185"
Mongolia,"1,200,193"
Egypt,"35,094"
Honduras,"112,402"
Moldova,"603,417"
Armenia,"867,391"
Oman,"4,715,084"
Kenya,"54,834"
Bosnia and Herzegovina,"456,375"
Bahrain,"4,520,198"
Singapore,"3,564,155"
Latvia,"3,029,246"
Finland,"1,566,781"
Zambia,"155,658"
Qatar,"1,136,707"
Nigeria,"17,880"
Estonia,"1,911,479"
North Macedonia,"773,693"
Botswana,"836,475"
Algeria,"5,125"
Zimbabwe,"122,268"
Albania,"517,685"
Uzbekistan,"40,290"
Mozambique,"34,040"
Kyrgyzstan,"285,236"
Cyprus,"7,764,257"
Montenegro,"1,581,044"
Afghanistan,"20,485"
Namibia,"335,415"
Ghana,"66,082"
Uganda,"45,222"
El Salvador,"234,146"
Cambodia,"162,231"
Rwanda,"301,573"
Laos,"124,197"
Cameroon,"63,607"
Luxembourg,"5,964,176"
Maldives,"3,401,843"
Jamaica,"239,014"
Trinidad and Tobago,"364,589"
Angola,"37,024"
Réunion,"1,488,904"
Malawi,"24,703"
Senegal,"53,186"
DRC,"9,040"
Ivory Coast,"45,334"
Eswatini,"367,214"
Guadeloupe,"1,518,071"
Malta,"2,732,714"
Fiji,"525,422"
Suriname,"288,479"
Syria,"8,063"
Madagascar,"11,156"
French Guiana,"1,598,170"
Martinique,"1,304,317"
Sudan,"12,402"
French Polynesia,NaN
Cabo Verde,"698,418"
Mauritania,"118,169"
Gabon,"647,888"
Guyana,"542,557"
Papua New Guinea,"27,075"
Belize,"946,412"
Guinea,"41,891"
Iceland,"4,041,195"
Togo,"72,331"
Burundi,"27,829"
Lesotho,"159,885"
Tanzania,NaN
Barbados,"1,645,443"
Channel Islands,"6,439,400"
Haiti,"11,404"
Bahamas,"466,004"
Benin,"47,957"
Seychelles,NaN
Andorra,"3,225,756"
Mauritius,"281,325"
Somalia,"23,629"
Curaçao,"2,385,294"
Mayotte,"625,764"
Aruba,"1,655,514"
Mali,"25,659"
Congo,"55,268"
Timor-Leste,"166,909"
Burkina Faso,"10,989"
Nicaragua,NaN
Taiwan,"390,059"
Tajikistan,NaN
Brunei ,"1,550,372"
South Sudan,"26,124"
New Zealand,"1,121,218"
Saint Lucia,"592,683"
Isle of Man,"1,559,595"
Djibouti,"257,235"
Equatorial Guinea,"178,759"
New Caledonia,"341,684"
Hong Kong,"3,963,016"
CAR,"15,035"
Gambia,"52,747"
Yemen,"8,608"
Gibraltar,"13,423,447"
Cayman Islands,"3,228,870"
San Marino,"3,149,505"
Eritrea,"6,544"
Niger,"8,021"
Sierra Leone,"31,620"
Comoros,NaN
Dominica,"1,738,942"
Guinea-Bissau,"54,658"
Bermuda,"11,287,207"
Faeroe Islands,"13,267,403"
Grenada,"845,661"
Liberia,"26,701"
Liechtenstein,"2,099,940"
Chad,"11,022"
St. Vincent Grenadines,"846,731"
Sint Maarten,"1,422,976"
Monaco,"1,385,744"
Antigua and Barbuda,"187,179"
Saint Martin,"1,975,995"
Sao Tome and Principe,"128,883"
British Virgin Islands,"3,058,197"
Turks and Caicos,"2,399,357"
Caribbean Netherlands,"1,132,982"
Saint Kitts and Nevis,"1,120,838"
Greenland,"2,471,090"
Bhutan,"1,661,900"
St. Barth,"5,693,509"
Anguilla,"3,379,283"
Wallis and Futuna,"1,874,246"
Saint Pierre Miquelon,"2,455,225"
Falkland Islands,"2,289,648"
Macao,"7,658"
Montserrat,"682,810"
Vatican City,NaN
Solomon Islands,"6,318"
Palau,"975,362"
Western Sahara,NaN
Vanuatu,"72,338"
Marshall Islands,NaN
Samoa,NaN
Saint Helena,NaN
Micronesia,NaN
Tonga,NaN
